"","Date","Age","Treatment","PlateID","Well","Family","Family_EBV","Count","AUC","AUC.cor","AUC.cor.norm"
"188",20260320,"72hpf","26C","plate_2_low","A3",56,"Low",15,230.233333333333,4.94479166666667,0.329652777777778
"189",20260320,"72hpf","26C","plate_2_low","A4",57,"Low",84,826.45,601.161458333333,7.15668402777778
"190",20260320,"72hpf","26C","plate_2_low","A5",53,"Low",61,638.9,413.611458333333,6.78051571038251
"191",20260320,"72hpf","26C","plate_2_low","A6",52,"Low",46,552.341666666667,327.053125,7.10985054347826
"192",20260320,"72hpf","26C","plate_2_low","A7",1,"High",11,359.008333333333,133.719791666667,12.1563446969697
"193",20260320,"72hpf","26C","plate_2_low","A8",4,"High",16,404.016666666667,178.728125,11.1705078125
"194",20260320,"72hpf","26C","plate_2_low","A9",6,"High",36,524.583333333333,299.294791666667,8.31374421296296
"195",20260320,"72hpf","26C","plate_2_low","A10",5,"High",48,853.891666666667,628.603125,13.0958984375
"196",20260320,"72hpf","26C","plate_2_low","A11",8,"High",19,624.666666666667,399.378125,21.0199013157895
"197",20260320,"72hpf","26C","plate_2_low","A12",3,"High",7,561.658333333333,336.369791666667,48.0528273809524
"198",20260320,"72hpf","26C","plate_2_low","B1",54,"Low",9,241.741666666667,16.4531250000001,1.82812500000001
"199",20260320,"72hpf","26C","plate_2_low","B2",55,"Low",66,578.616666666667,353.328125,5.35345643939394
"200",20260320,"72hpf","26C","plate_2_low","B4",57,"Low",65,525.758333333333,300.469791666667,4.62261217948718
"201",20260320,"72hpf","26C","plate_2_low","B5",53,"Low",56,544.183333333333,318.894791666667,5.69454985119048
"202",20260320,"72hpf","26C","plate_2_low","B6",52,"Low",49,603.583333333333,378.294791666667,7.7203018707483
"203",20260320,"72hpf","26C","plate_2_low","B7",1,"High",26,409.783333333333,184.494791666667,7.09595352564103
"204",20260320,"72hpf","26C","plate_2_low","B9",6,"High",34,351.141666666667,125.853125,3.7015625
"205",20260320,"72hpf","26C","plate_2_low","B10",5,"High",54,1037.16666666667,811.878125,15.0347800925926
"206",20260320,"72hpf","26C","plate_2_low","B12",3,"High",1,322.525,97.2364583333334,97.2364583333334
"207",20260320,"72hpf","26C","plate_2_low","C1",54,"Low",9,235.75,10.4614583333333,1.16238425925926
"208",20260320,"72hpf","26C","plate_2_low","C2",55,"Low",68,644.758333333333,419.469791666667,6.16867340686275
"209",20260320,"72hpf","26C","plate_2_low","C3",56,"Low",35,384.866666666667,159.578125,4.559375
"210",20260320,"72hpf","26C","plate_2_low","C4",57,"Low",98,822.525,597.236458333333,6.09424957482993
"211",20260320,"72hpf","26C","plate_2_low","C5",53,"Low",70,662.8,437.511458333333,6.25016369047619
